playerid,Name,z_runs,z_hr,z_rbi,z_sb,z_k,z_avg,z_ops,final_z_sum
15653,Dominic Smith,-0.49390519846905045,0.24809171662620813,1.4272210259703628,-0.8332374917594317,-0.24587965371902143,1.4657734801158198,1.7870257486518708,3.846848934854801
15672,Austin Meadows,-0.1217341905333717,0.35975647225938767,1.4507061491996514,-0.5194392398252072,-0.04569718784606138,-1.1962981519415585,-0.29967077114166013,-0.28098254413669715
15676,Jose Abreu,0.8617735823157728,0.8220822473365601,1.8511188864222998,-0.8994470149693038,0.348246450110575,0.9883688380921126,0.9684492935006088,4.244099382587475
15679,Rowdy Tellez,-0.4528492178087321,1.5485982606106965,0.8778504424183837,-0.7828858374580759,0.06451670357203546,-1.3885679972511673,0.07329678535562845,-0.18907426770530236
15711,Tyler O'Neill,0.4986871666251231,1.025918757565348,0.15244708686504785,0.7129558193679315,1.369983039711514,0.8307051842536658,1.4006411265242527,3.2513721014898542
15986,Willy Adames,0.014217468873930161,0.36147219605905934,0.16492492270251874,-0.2705801391797607,1.396647138318781,-0.2923779790175959,0.12067990025666768,-1.2983107686239619
15998,Cody Bellinger,0.01672001741883314,0.3014733946056309,-0.03937782522116368,0.6696115922649111,0.2500699808734026,-1.1479756146119624,-0.6673552977006223,-1.1169737141177758
16219,J.D. Davis,-0.6269878136163088,-0.6851274558485357,-1.0829049141584495,-0.8332374917594317,0.5101518799603323,-0.3756996008144024,-0.3082043838695623,-4.422313540027023
16252,Trea Turner,1.75217116566402,0.42180446633717356,0.9204192396186415,2.3418238099650956,-0.3029460433123122,1.9483623209078331,1.2174133831676395,8.904940428972717
16376,Michael Conforto,1.236168798445308,0.014786923507522174,0.22672601112614824,-0.03557643223242519,0.5788820193857281,1.6259015741097524,1.1909689006069808,3.6800937561775577
16426,Thairo Estrada,-0.21058420416620036,-0.6306147556095104,-0.5032589492842285,1.3704861208063421,-0.9150069710982857,0.06091641821078423,-0.4653793381750607,0.5365722628804119
16472,Rhys Hoskins,0.39507832994012904,1.0297380186535043,0.3663284454914903,-0.7828858374580759,1.533802215577517,-0.4340294797518337,0.39650245947404195,-0.5630702792282609
16478,Kyle Schwarber,0.7255898958574397,1.5857436513307066,0.29819303946264836,-0.22177668978981382,1.8400845248143405,-1.6871069003825696,-0.029271314499337453,-1.168712842835267
16505,Matt Chapman,0.07315405168231265,0.5390891728692884,-0.017072696796857786,-0.7071804958776934,1.990383856115126,-1.5834366831272937,-0.5131022750407196,-4.198932782406089
16512,Isiah Kiner-Falefa,-0.4353943078845921,-1.500591792290331,-1.4934209564774519,1.3502718485794956,-1.2017562017427539,0.28242243207234446,-1.2765439313018978,-1.8715005055596785
16556,Ozzie Albies,1.3672770666470158,0.6452545945333706,1.4507061491996514,1.2731353917284491,0.13895675487883977,-0.2217773172323156,0.02824652340819474,4.403885653405526
16578,Yandy Diaz,-0.6935173509345065,-1.0610215479596177,-0.7027507573134995,-0.7625487272375753,-1.4935484012922746,0.4974573120729018,0.03365319227650598,-1.1951794778035163
16622,Luis Urias,-0.24581846196507065,-0.02090769077258958,-0.0972181174300682,-0.40740332535310375,-0.23035113057096251,-0.6115856511160132,-0.09320432642508483,-1.2457864424909677
16909,Colin Moran,-0.3608225833217921,0.24809171662620813,-0.6463612723969169,-0.8332374917594317,0.23523132225874915,-0.3756996008144024,0.016917533245832797,-2.186343020679251
16939,Lane Thomas,-0.7556804848618968,-0.31929861043519514,-1.014780946211122,-0.10287364011141759,0.40122796673995836,-0.6107958718813401,-0.6688792070644322,-3.873536727305362
16997,Gleyber Torres,-1.0052039118189706,-0.4730632665398181,-0.5413696258166015,0.3623584986166482,-0.1451306968905745,-0.13346036714961762,-0.6045394213365268,-2.2501473971543122
17027,Alex Verdugo,0.3907213927472932,-0.8665421516616314,-0.7017652388767618,-0.3204260089845363,-0.6995270807683165,0.9892996753127205,-0.047745540267443404,0.14306920903795717
17128,Ramon Laureano,-0.49390519846905045,-0.6851274558485357,-0.42808945151615063,-0.3014634520747607,0.6476121588111239,-1.2830921334466858,-0.8229807526356046,-4.662270602801912
17232,Yoan Moncada,-0.39638372621720563,-0.7812647567215371,-0.6667530257064636,-0.7323563230283713,1.320642461074597,-0.5143449645688287,-0.4657220423315144,-4.877467299648518
17273,Jorge Mateo,-0.6951142314512638,-0.7343868040009488,-1.1170853455965006,2.957181247948545,0.8603796892416714,-1.3178614403993647,-1.3751434579157789,-3.142789720656983
17350,Rafael Devers,0.6638259208848619,0.8688004346071362,1.3877642047830847,-0.6367304294487228,0.5723403083562272,0.6358097211628304,0.8427479788668341,3.189877522499797
1744,Miguel Cabrera,-1.2029314905232487,-0.267072150105168,0.2830257677288063,-0.7674666848153588,-0.0011493167479877248,-0.31717768560743054,-0.8028218271461276,-3.07329475372054
