playerid,#,Season,Name,Team,z_w,z_era,z_saves,z_hr,z_k,z_whip,z_hold,z_pit_avg
13074,20,2022,Yu Darvish,SDP,1.1873315028082831,-0.28873210282985,NA,0.26767292132350745,0.615865228534785,-1.2076566496953687,NA,3.0319125625447794
19665,21,2022,Kyle Wright,ATL,2.933407242232229,-0.18045756426865633,NA,-0.2077987152379857,-0.044674161655372614,0.19435260578635527,NA,3.082636754297143
22250,22,2022,Logan Gilbert,SEA,0.13968605915391577,-0.16842705998407895,NA,-0.2077987152379857,-0.044674161655372614,0.3278772967846148,NA,0.143360375935993
16149,23,2022,Aaron Nola,PHI,-0.5587442366156624,-0.10827453856119369,NA,-0.2077987152379857,1.7071911775446105,-1.140894304196239,NA,2.6054144989243664
9803,24,2022,Miles Mikolas,STL,-0.20952908873087334,-0.06015252142288526,NA,0.7431445578850006,-0.6477753440029078,-0.6735578857023304,NA,-0.866738583493566
14107,25,2022,Kevin Gausman,TOR,-0.20952908873087334,0.012030504284577373,NA,-0.8417608973199766,0.8456180599052746,0.7284513697793935,NA,0.737367994430407
11156,26,2022,Merrill Kelly,ARI,0.13968605915391577,0.036091512853731585,NA,0.10918237580300971,0.04148315010856098,0.0608279147880957,NA,-0.024932594182360227
19312,27,2022,Cal Quantrill,CLE,0.838116354923494,0.04812201713830842,NA,0.10918237580300971,-1.3657529420356878,0.5281643332820042,NA,-1.213105313335516
12304,28,2022,Chris Bassitt,NYM,0.838116354923494,0.09624403427661685,NA,-0.2077987152379857,-0.24570788910455102,0.0608279147880957,NA,0.6431352319922161
16511,29,2022,Jordan Montgomery,- - -,-1.2571745323852408,0.16842705998407947,NA,0.10918237580300971,-0.5041798243963518,-0.27298381270755173,NA,-1.76597997986113
13125,30,2022,Gerrit Cole,NYY,0.13968605915391577,0.1924880685532337,NA,2.0110689220489824,2.3390114638134567,-0.7403202312014602,NA,1.0154607635666166
2233,31,2022,Adam Wainwright,STL,-0.5587442366156624,0.44512865852935263,NA,-0.6832703517994788,-0.9349663832160198,0.9955007517759127,NA,-2.251069678337469
11486,32,2022,Robbie Ray,SEA,-0.20952908873087334,0.44512865852935263,NA,1.8525783765284847,1.046651787354453,0.3946396422837446,NA,-1.8552239787180023
17085,33,2022,Pablo Lopez,MIA,-0.9079593845004515,0.49325067566766106,NA,0.10918237580300971,-0.044674161655372614,0.26111495128548506,NA,-1.81618154891198
11674,34,2022,Jameson Taillon,NYY,0.4889012070387049,0.6857387442208948,NA,0.9016351034054982,-0.7052135518455301,-0.005934430711034088,NA,-1.797751761722184
18413,35,2022,Jose Urquidy,HOU,0.13968605915391577,0.7218302570746258,NA,1.3771067399669914,-1.1934383185078206,0.26111495128548506,NA,-3.4138042076810073
19244,36,2022,Cole Irvin,OAK,-1.2571745323852408,0.7699522742129342,NA,0.7431445578850006,-1.3657529420356878,0.19435260578635527,NA,-4.330376912305219
15467,37,2022,Marco Gonzales,SEA,-0.9079593845004515,0.9504098384815906,NA,1.535597285487489,-2.083730540068468,1.3293124792715616,NA,-6.80700952780956
2429,38,2022,Corey Kluber,TBR,-0.9079593845004515,1.2030504284577095,NA,-0.049308169717488005,-1.0498427989012646,0.5281643332820042,NA,-3.6397087754239417
4676,39,2022,Charlie Morton,ATL,-1.2571745323852408,1.2030504284577095,NA,1.2186161944464937,0.8456180599052746,0.6616890242802638,NA,-3.4949121196644333
7593,40,2022,Jordan Lyles,BAL,-0.20952908873087334,1.2992944627343264,NA,0.9016351034054982,-0.9062472792947086,1.7298865522663387,NA,-5.046592486431745
16256,41,2022,Kyle Freeland,COL,-1.2571745323852408,1.4316300098646748,NA,-0.2077987152379857,-1.2795956302717542,1.8634112432645984,NA,-5.624012700548283
15454,42,2022,Nick Pivetta,BOS,-0.9079593845004515,1.4677215227184053,NA,1.060125648925996,-0.015955057734061414,1.663124206767209,NA,-5.114885820646123
15038,43,2022,German Marquez,COL,-1.2571745323852408,1.9369111898169127,NA,1.535597285487489,-0.7339326557668414,1.5963618612680808,NA,-7.059977524724565
10123,44,2022,Kyle Gibson,PHI,-0.9079593845004515,2.0572162326626833,NA,0.5846540123645029,-0.9062472792947086,1.3960748247706913,NA,-5.852151733593038
14168,45,2022,Jose Berrios,TOR,-0.20952908873087334,2.273765309785072,NA,1.3771067399669914,-0.7626517596881526,1.9301735887637281,NA,-6.553226486934817
